elapsed,bytes,sentBytes,Latency
24,440,509,24
9,440,509,9
8,440,509,8
48,440,509,48
7,440,509,7
9,440,509,9
1330,440,509,1330
7,440,509,7
5,440,509,5
27,440,509,27
18,440,509,18
8,440,509,8
12,440,509,12
10,440,509,10
6,440,509,6
19,440,509,19
9,440,509,9
11,440,509,11
7,440,509,7
8,440,509,8
19,440,509,19
6,440,509,6
14,440,509,14
11,440,509,11
7,440,509,7
16,440,509,16
8,440,509,7
15,440,509,15
8,440,509,8
7,440,509,7
21,440,509,21
7,440,509,7
10,440,509,10
5,440,509,5
5,440,509,5
20,440,509,20
8,440,509,8
13,440,509,13
11,440,509,11
7,440,509,7
23,440,509,23
9,440,509,9
258,440,509,258
20,440,509,20
6,440,509,6
6,440,509,6
9,440,509,9
5,440,509,5
7,440,509,7
17,440,509,17
6,440,509,6
11,440,509,10
13,440,509,13
6,440,509,6
10,440,509,10
6,440,509,6
9,440,509,9
8,440,509,8
9,440,509,9
704,440,509,704
18,440,509,18
11,440,509,11
7,440,509,7
11,440,509,11
10,440,509,10
7,440,509,7
12,440,509,12
10,440,509,9
7,440,509,7
20,440,509,20
7,440,509,7
14,440,509,14
11,440,509,11
5,440,509,5
13,440,509,13
6,440,509,6
7,440,509,7
22,440,509,22
5,440,509,5
6,440,509,6
23,440,509,23
9,440,509,9
194,440,509,194
16,440,509,16
7,440,509,7
7,440,509,7
16,440,509,16
6,440,509,6
6,440,509,6
15,440,509,15
11,440,509,11
8,440,509,8
6,440,509,6
7,440,509,7
5,440,509,5
15,440,509,15
9,440,509,9
8,440,509,7
14,440,509,14
11,440,509,11
7,440,509,7
8,440,509,8
6,440,509,6
5,440,509,5
10,440,509,10
10,440,509,10
5,440,509,5
12,440,509,12
7,440,509,7
5,440,509,5
16,440,509,16
10,440,509,10
6,440,509,6
16,440,509,16
10,440,509,10
5,440,509,5
17,440,509,17
10,440,509,10
4,440,509,4
6,440,509,6
17,440,509,17
7,440,509,7
15,440,509,15
11,440,509,11
6,440,509,6
15,440,509,15
6,440,509,6
15,440,509,15
10,440,509,10
7,440,509,7
13,440,509,13
12,440,509,12
8,440,509,8
22,440,509,22
7,440,509,7
16,440,509,16
11,440,509,11
6,440,509,6
11,440,509,11
8,440,509,8
8,440,509,8
17,440,509,17
7,440,509,7
19,440,509,19
10,440,509,10
6,440,509,6
16,440,509,16
7,440,509,7
6,440,509,6
20,440,509,20
6,440,509,6
18,440,509,18
10,440,509,10
6,440,509,6
25,440,509,25
8,440,509,8
13,440,509,13
5,440,509,5
6,440,509,6
19,440,509,19
7,440,509,6
8,440,509,8
10,440,509,10
24,440,509,24
7,440,509,7
5,440,509,5
12,440,509,12
9,440,509,8
7,440,509,7
21,440,509,21
8,440,509,8
9,440,509,9
7,440,509,7
5,440,509,5
7,440,509,7
9,440,509,9
7,440,509,7
24,440,509,24
7,440,509,7
6,440,509,6
5,440,509,5
7,440,509,7
7,440,509,7
19,440,509,19
6,440,509,6
6,440,509,6
7,440,509,7
7,440,509,7
8,440,509,8
8,440,509,8
25,440,509,25
18,440,509,18
622,440,509,622
8,440,509,8
6,440,509,6
6,440,509,6
6,440,509,6
8,440,509,8
47,440,509,47
6,440,509,6
7,440,509,7
6,440,509,6
6,440,509,6
6,440,509,6
6,440,509,6
31,440,509,31
7,440,509,7
6,440,509,6
23,440,509,23
6,440,509,6
19,440,509,19
10,440,509,10
8,440,509,8
16,440,509,16
7,440,509,7
5,440,509,5
14,440,509,14
7,440,509,7
6,440,509,6
7,440,509,7
6,440,509,6
5,440,509,5
6,440,509,6
17,440,509,17
5,440,509,5
7,440,509,7
7,440,509,7
5,440,509,5
7,440,509,7
8,440,509,8
5,440,509,5
6,440,509,6
35,440,509,35
6,440,509,6
4,440,509,4
7,440,509,7
6,440,509,6
8,440,509,8
14,440,509,14
6,440,509,6
5,440,509,5
6,440,509,6
11,440,509,11
7,440,509,7
6,440,509,6
9,440,509,9
6,440,509,6
7,440,509,7
22,440,509,22
7,440,509,7
7,440,509,7
5,440,509,5
6,440,509,6
22,440,509,22
7,440,509,7
7,440,509,7
19,440,509,19
5,440,509,5
7,440,509,7
6,440,509,6
7,440,509,7
18,440,509,18
9,440,509,9
5,440,509,5
7,440,509,7
6,440,509,6
7,440,509,7
6,440,509,6
414,440,509,414
63,440,509,63
6,440,509,6
12,440,509,12
9,440,509,9
7,440,509,7
105,440,509,105
11,440,509,11
20,440,509,20
7,440,509,7
7,440,509,7
18,440,509,18
6,440,509,6
6,440,509,6
20,440,509,20
6,440,509,6
8,440,509,8
11,440,509,11
50,440,509,50
43,440,509,43
64,440,509,64
47,440,509,47
5,440,509,5
6,440,509,6
6,440,509,6
27,440,509,27
5,440,509,5
5,440,509,5
22,440,509,22
7,440,509,7
7,440,509,7
21,440,509,21
6,440,509,6
7,440,509,7
23,440,509,23
7,440,509,7
6,440,509,6
16,440,509,16
12,440,509,12
6,440,509,6
6,440,509,6
23,440,509,23
6,440,509,6
7,440,509,7
19,440,509,19
7,440,509,7
8,440,509,8
19,440,509,19
10,440,509,10
5,440,509,5
17,440,509,17
13,440,509,13
6,440,509,6
22,440,509,22
7,440,509,7
7,440,509,7
17,440,509,17
5,440,509,5
6,440,509,6
12,440,509,12
643,440,509,643
21,440,509,21
8,440,509,8
17,440,509,17
20,440,509,20
7,440,509,7
5,440,509,5
14,440,509,14
6,440,509,6
5,440,509,5
6,440,509,6
8,440,509,8
7,440,509,7
7,440,509,7
19,440,509,19
7,440,509,7
6,440,509,6
7,440,509,7
17,440,509,17
4,440,509,4
6,440,509,6
15,440,509,15
5,440,509,5
5,440,509,5
9,440,509,9
8,440,509,8
7,440,509,7
8,440,509,8
16,440,509,16
5,440,509,5
8,440,509,8
16,440,509,16
6,440,509,6
6,440,509,6
7,440,509,7
20,440,509,20
7,440,509,7
6,440,509,6
20,440,509,19
7,440,509,7
6,440,509,6
6,440,509,5
12,440,509,12
7,440,509,7
7,440,509,6
13,440,509,13
7,440,509,7
5,440,509,5
21,440,509,21
11,440,509,11
5,440,509,5
5,440,509,5
5,440,509,5
9,440,509,9
6,440,509,6
16,440,509,16
11,440,509,11
7,440,509,7
7,440,509,7
21,440,509,21
6,440,509,6
6,440,509,6
6,440,509,6
10,440,509,10
6,440,509,6
34,440,509,34
7,440,509,7
6,440,509,6
7,440,509,7
20,440,509,20
11,440,509,11
6,440,509,6
11,440,509,11
630,440,509,630
6,440,509,6
15,440,509,15
7,440,509,7
5,440,509,5
10,440,509,10
5,440,509,5
6,440,509,6
5,440,509,5
5,440,509,5
6,440,509,6
7,440,509,7
5,440,509,5
12,440,509,12
6,440,509,6
5,440,509,5
21,440,509,21
229,440,509,229
6,440,509,6
26,440,509,26
6,440,509,6
6,440,509,6
8,440,509,8
18,440,509,18
5,440,509,5
5,440,509,5
8,440,509,8
9,440,509,9
9,440,509,9
7,440,509,7
19,440,509,19
5,440,509,5
6,440,509,6
27,440,509,27
10,440,509,10
6,440,509,6
13,440,509,13
10,440,509,10
5,440,509,5
5,440,509,5
6,440,509,6
8,440,509,8
7,440,509,7
24,440,509,24
7,440,509,7
4,440,509,4
5,440,509,5
8,440,509,8
7,440,509,7
27,440,509,27
5,440,509,5
6,440,509,6
8,440,509,8
500,440,509,500
8,440,509,8
9,440,509,9
11,440,509,11
9,440,509,9
61,440,509,61
20,440,509,20
8,440,509,8
6,440,509,6
7,440,509,7
34,440,509,34
6,440,509,6
7,440,509,7
6,440,509,6
8,440,509,8
8,440,509,8
8,440,509,8
16,440,509,16
6,440,509,6
6,440,509,6
6,440,509,6
5,440,509,5
7,440,509,7
18,440,509,18
6,440,509,6
8,440,509,8
19,440,509,19
20,440,509,20
5,440,509,5
6,440,509,6
7,440,509,7
9,440,509,9
8,440,509,8
8,440,509,8
21,440,509,21
6,440,509,6
6,440,509,6
26,440,509,25
7,440,509,7
8,440,509,8
6,440,509,6
7,440,509,7
7,440,509,7
8,440,509,8
28,440,509,28
6,440,509,6
9,440,509,9
8,440,509,8
5,440,509,5
10,440,509,10
20,440,509,20
7,440,509,7
5,440,509,5
13,440,509,13
11,440,509,11
8,440,509,8
6,440,509,6
9,440,509,9
7,440,509,7
7,440,509,7
24,440,509,24
7,440,509,7
6,440,509,6
12,440,509,12
5,440,509,5
6,440,509,6
6,440,509,6
6,440,509,6
6,440,509,6
7,440,509,7
22,440,509,22
8,440,509,8
7,440,509,7
23,440,509,23
6,440,509,6
7,440,509,7
5,440,509,5
7,440,509,7
8,440,509,8
8,440,509,8
635,440,509,635
7,440,509,7
6,440,509,6
1549,440,509,1549
30,440,509,30
60,440,509,60
11,440,509,11
7,440,509,7
5,440,509,5
6,440,509,6
23,440,509,23
5,440,509,5
10,440,509,10
5,440,509,5
6,440,509,6
5,440,509,5
6,440,509,6
5,440,509,5
6,440,509,5
30,440,509,30
9,440,509,9
5,440,509,5
7,440,509,7
5,440,509,5
7,440,509,7
6,440,509,6
5,440,509,5
7,440,509,7
6,440,509,6
10,440,509,10
5,440,509,5
14,440,509,14
6,440,509,6
6,440,509,6
6,440,509,6
7,440,509,7
27,440,509,27
8,440,509,8
8,440,509,8
6,440,509,6
9,440,509,9
5,440,509,5
29,440,509,29
5,440,509,5
5,440,509,5
5,440,509,5
6,440,509,6
14,440,509,14
5,440,509,5
8,440,509,8
6,440,509,6
5,440,509,5
6,440,509,6
12,440,509,12
7,440,509,7
5,440,509,5
8,440,509,8
7,440,509,7
7,440,509,7
6,440,509,6
11,440,509,11
6,440,509,6
5,440,509,5
11,440,509,11
6,440,509,6
7,440,509,7
6,440,509,6
8,440,509,8
7,440,509,7
