,0,1,2,0
0,8-20s,itr1,Node 2,"[2127, 3303, 2470, 3602, 2575, 3414, 5598, 6144, 6270, 4766, 4649, 6081, 1644, 3152, 840]"
1,8-20s,itr1,Node 3,"[9533, 16379, 4624, 12472, 3273, 7850]"
2,8-20s,itr1,Node 1,"[2127, 3303, 2470, 3602, 2575, 3414, 6270, 5454, 4766, 1644, 5648, 3152, 840]"
3,8-20s,itr1,Node4,"[2127, 3303, 2470, 3602, 2575, 3414, 3101, 6144, 6270, 4766, 201, 5648, 3152, 840]"
4,8-20s,itr1,Node5,"[2127, 3303, 2470, 3602, 2575, 3414, 6237, 5454, 4766, 4649, 5648, 1644, 3152, 840]"
5,8-20s,itr2,Node5,"[3263, 4260, 3808, 2293, 1053, 1289, 1104, 1119, 1682, 772, 4797, 940]"
6,8-20s,itr2,Node4,"[3423, 3263, 4260, 2293, 3808, 1053, 4370, 1289, 1104, 1119, 1682, 772, 4797, 940]"
7,8-20s,itr2,Node 3,"[4456, 3263, 4260, 3904, 2293, 1053, 3185, 1104, 1119, 1682, 772, 4797, 940]"
8,8-20s,itr2,Node 2,"[3302, 3263, 4260, 4517, 3808, 1053, 4370, 1289, 1104, 1119, 1682, 772, 940]"
9,8-20s,itr2,Node 1,"[3302, 3263, 4456, 4260, 3904, 2293, 1053, 1433, 1104, 1119, 1682, 772, 118, 940]"
10,8-20s,itr3,Node5,"[3831, 4611, 4940, 6426, 2856, 3352, 2016, 2694, 810, 1423, 3216, 388, 420]"
11,8-20s,itr3,Node 2,"[3831, 4611, 6426, 2856, 3352, 2016, 2694, 810, 2332, 1423, 3216, 388, 420]"
12,8-20s,itr3,Node4,"[3831, 3884, 4940, 6426, 2856, 3352, 2016, 2694, 810, 2332, 1423, 3216, 388, 420]"
13,8-20s,itr3,Node 3,"[3831, 4940, 4611, 6426, 2856, 2016, 810, 2332, 1423, 3216, 388, 420]"
14,8-20s,itr3,Node 1,"[3831, 4632, 4611, 6426, 2856, 3352, 2016, 2694, 810, 2332, 1423, 3216, 388, 420]"
15,8-20s,itr4,Node4,"[2302, 3021, 4353, 2076, 1187, 2849, 1871, 1239, 765, 1756, 5925, 5925, 863]"
16,8-20s,itr4,Node5,"[6404, 3021, 4353, 1187, 2076, 2849, 1871, 1239, 765, 1756, 1846, 5925, 863]"
17,8-20s,itr4,Node 2,"[4134, 3021, 2302, 4353, 5365, 2497, 2076, 2849, 1871, 1037, 1239, 765, 1756, 1846, 5925, 863]"
18,8-20s,itr4,Node 3,"[4134, 3021, 4353, 2497, 5365, 2076, 2849, 1239, 1037, 765, 1756, 1846, 5925, 863]"
19,8-20s,itr4,Node 1,"[4134, 3021, 4353, 2497, 6103, 2076, 2849, 1871, 1239, 765, 1756, 5925, 5925, 863]"
20,8-20s,itr5,Node5,"[4002, 2100, 2476, 3896, 656, 5582, 533, 2207, 1785, 4753, 8, 4]"
